id,country,countryCode,region,regionCode,province,municipality,brgy,zipCode
51,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,PAGALA,2805
52,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,PAKILING,2805
53,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,PALAQUIO,2805
54,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,PATOC,2805
55,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,QUIMLOONG,2805
56,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,SALNEC,2805
57,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,SAN MIGUEL,2805
58,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,SIBLONG,2805
59,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,SOUTH POBLACION,2805
60,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCAY,TABIOG,2805
61,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCLOC,DUCLIGAN,2817
62,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCLOC,LABAAN,2817
63,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCLOC,LAMAO,2817
64,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,BUCLOC,LINGAY,2817
65,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DAGUIOMAN,ABLEG,2816
66,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DAGUIOMAN,CABARUYAN,2816
67,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DAGUIOMAN,PIKEK,2816
68,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DAGUIOMAN,TUI,2816
69,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DANGLAS,ABAQUID,2825
70,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DANGLAS,CABARUAN,2825
71,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DANGLAS,CAUPASAN,2825
72,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DANGLAS,DANGLAS,2825
73,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DANGLAS,NAGAPARAN,2825
74,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DANGLAS,PADANGITAN,2825
75,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DANGLAS,PANGAL,2825
76,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,BAYAAN,2801
77,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,CABAROAN,2801
78,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,CALUMBAYA,2801
79,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,CARDONA,2801
80,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,ISIT,2801
81,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,KIMMALABA,2801
82,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,LIBTEC,2801
83,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,LUB-LUBBA,2801
84,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,MUDIIT,2801
85,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,NAMIT-INGAN,2801
86,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,PACAC,2801
87,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,POBLACION,2801
88,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,SALUCAG,2801
89,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,TALOGTOG,2801
90,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,DOLORES,TAPING,2801
91,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,BENBEN,2826
92,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,BULBULALA,2826
93,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,BULI,2826
94,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,CANAN,2826
95,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,LIGUIS,2826
96,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,MALABBAGA,2826
97,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,MUDENG,2826
98,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,PIDIPID,2826
99,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,POBLACION,2826
100,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,SAN GREGORIO,2826
101,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,TOON,2826
102,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LA PAZ,UDANGAN,2826
103,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LACUB,BACAG,2821
104,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LACUB,BUNEG,2821
105,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LACUB,GUINGUINABANG,2821
106,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LACUB,LAN-AG,2821
107,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LACUB,PACOC,2821
108,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LACUB,POBLACION,2821
109,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,AGUET,2802
110,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,BACOOC,2802
111,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,BALAIS,2802
112,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,CAYAPA,2802
113,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,DALAGUISEN,2802
114,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,LAANG,2802
115,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,LAGBEN,2802
116,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,LAGUIBEN,2802
117,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,NAGTIPULAN,2802
118,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,NAGTUPACAN,2802
119,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,PAGANAO,2802
120,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,PAWA,2802
121,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,POBLACION,2802
122,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,PRESENTAR,2802
123,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,SAN ISIDRO,2802
124,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,TAGODTOD,2802
125,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGAGILANG,TAPING,2802
126,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LAGAYAN,BA-I,2824
127,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LAGAYAN,COLLAGO,2824
128,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LAGAYAN,PANG-OT,2824
129,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LAGAYAN,POBLACION,2824
130,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LAGAYAN,PULOT,2824
131,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGIDEN,BAAC,2807
132,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGIDEN,DALAYAP,2807
133,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGIDEN,MABUNGTOT,2807
134,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGIDEN,MALAPAAO,2807
135,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGIDEN,POBLACION,2807
136,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LANGIDEN,QUILLAT,2807
137,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,BONGLO,2819
138,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,BULBULALA,2819
139,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,CAWAYAN,2819
140,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,DOMENGLAY,2819
141,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,LENNENG,2819
142,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,MAPISLA,2819
143,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,MOGAO,2819
144,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,NALBUAN,2819
145,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,POBLACION,2819
146,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,SUBAGAN,2819
147,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LICUAN-BAAY,TUMALIP,2819
148,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LUBA,AMPALIOC,2813
149,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LUBA,BARIT,2813
150,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LUBA,GAYAMAN,2813
151,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LUBA,LUL-LUNO,2813
152,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LUBA,LUZONG,2813
153,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LUBA,NAGBUKEL-TUQUIPA,2813
154,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LUBA,POBLACION,2813
155,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,LUBA,SABNANGAN,2813
156,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,BAYABAS,2820
157,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,BINASARAN,2820
158,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,BUANAO,2820
159,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,DULAO,2820
160,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,DULDULAO,2820
161,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,GACAB,2820
162,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,LAT-EY,2820
163,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,MALIBCONG,2820
164,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,MATARAGAN,2820
165,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,PACGUED,2820
166,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,TARIPAN,2820
167,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MALIBCONG,UMNAP,2820
168,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,AYYENG,2810
169,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,CATACDEGAN NUEVO,2810
170,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,CATACDEGAN VIEJO,2810
171,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,LUZONG,2810
172,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,SAN JOSE NORTE,2810
173,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,SAN JOSE SUR,2810
174,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,SAN JUAN NORTE,2810
175,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,SAN JUAN SUR,2810
176,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,SAN RAMON EAST,2810
177,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,SAN RAMON WEST,2810
178,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,MANABO,SANTO TOMAS,2810
179,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,PE?RUBIA,DUMAYCO,2804
180,PHILIPPINES,PH,CORDILLERA ADMINISTRATIVE REGION,CAR,ABRA,PE?RUBIA,LUSUAC,2804
